            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2461134.978151678, A.D. 2026-Apr-04 11:28:32.3050, -2.992405854454531E+05, -2.648318665438461E+05, -3.229685957446248E+04,  6.311329181066659E-01, -7.528698628884882E-01, -4.185515156583575E-02,
2461134.985096123, A.D. 2026-Apr-04 11:38:32.3050, -2.988615737677424E+05, -2.652832897874234E+05, -3.232193602365315E+04,  6.322390800303482E-01, -7.518740197790988E-01, -4.173299929076385E-02,
2461134.992040567, A.D. 2026-Apr-04 11:48:32.3050, -2.984818988626768E+05, -2.657341150527186E+05, -3.234693915790381E+04,  6.333436756537444E-01, -7.508766023577795E-01, -4.161076847777284E-02,
2461134.998985012, A.D. 2026-Apr-04 11:58:32.3050, -2.981015616705809E+05, -2.661843413958820E+05, -3.237186893017356E+04,  6.344467031622726E-01, -7.498776130828833E-01, -4.148845940007900E-02,
2461135.005929456, A.D. 2026-Apr-04 12:08:32.3050, -2.977205631328672E+05, -2.666339678745392E+05, -3.239672529358558E+04,  6.355481607453228E-01, -7.488770544137804E-01, -4.136607233084627E-02,
2461135.012873901, A.D. 2026-Apr-04 12:18:32.3050, -2.973389041920330E+05, -2.670829935477918E+05, -3.242150820142690E+04,  6.366480465962523E-01, -7.478749288108519E-01, -4.124360754318618E-02,
2461135.019818345, A.D. 2026-Apr-04 12:28:32.3050, -2.969565857916586E+05, -2.675314174762177E+05, -3.244621760714834E+04,  6.377463589123822E-01, -7.468712387354819E-01, -4.112106531015730E-02,
2461135.026762790, A.D. 2026-Apr-04 12:38:32.3050, -2.965736088764049E+05, -2.679792387218723E+05, -3.247085346436463E+04,  6.388430958949932E-01, -7.458659866500510E-01, -4.099844590476459E-02,
2461135.033707234, A.D. 2026-Apr-04 12:48:32.3050, -2.961899743920103E+05, -2.684264563482885E+05, -3.249541572685417E+04,  6.399382557493214E-01, -7.448591750179300E-01, -4.087574959995888E-02,
2461135.040651678, A.D. 2026-Apr-04 12:58:32.3050, -2.958056832852895E+05, -2.688730694204774E+05, -3.251990434855926E+04,  6.410318366845543E-01, -7.438508063034721E-01, -4.075297666863648E-02,
